[Telegram] Starting Telegram bot connected to OpenCode at: http://127.0.0.1:4096
[Telegram] AUTHORIZED_TELEGRAM_USER_ID is not defined in the environment variables. The bot will be accessible to everyone.
[Telegram] Connected to OpenCode server at http://127.0.0.1:4096
[Telegram] Project directory: /home/jesus/cloky-elite-telegram-bot/workspace
[Telegram] Found OpenCode command: init
[Telegram] Found OpenCode command: review
[Telegram] Found OpenCode command: business-growth-skills
[Telegram] Found OpenCode command: revenue-operations
[Telegram] Found OpenCode command: contract-and-proposal-writer
[Telegram] Found OpenCode command: sales-engineer
[Telegram] Found OpenCode command: risk-management-specialist
[Telegram] Found OpenCode command: fda-consultant-specialist
[Telegram] Found OpenCode command: c-level-advisor
[Telegram] Found OpenCode command: mdr-745-specialist
[Telegram] Found OpenCode command: customer-success-manager
[Telegram] Found OpenCode command: quality-documentation-manager
[Telegram] Found OpenCode command: product-skills
[Telegram] Found OpenCode command: qms-audit-expert
[Telegram] Found OpenCode command: engineering-advanced-skills
[Telegram] Found OpenCode command: quality-manager-qms-iso13485
[Telegram] Found OpenCode command: engineering-skills
[Telegram] Found OpenCode command: pm-skills
[Telegram] Found OpenCode command: information-security-manager-iso27001
[Telegram] Found OpenCode command: hermes-compression
[Telegram] Found OpenCode command: soc2-compliance
[Telegram] Found OpenCode command: finance-skills
[Telegram] Found OpenCode command: gdpr-dsgvo-expert
[Telegram] Found OpenCode command: paid-ads
[Telegram] Found OpenCode command: regulatory-affairs-head
[Telegram] Found OpenCode command: marketing-skills
[Telegram] Found OpenCode command: schema-markup
[Telegram] Found OpenCode command: page-cro
[Telegram] Found OpenCode command: apple-scroll-web
[Telegram] Found OpenCode command: ra-qm-skills
[Telegram] Found OpenCode command: quality-manager-qmr
[Telegram] Found OpenCode command: capa-officer
[Telegram] Found OpenCode command: skill-creator
[Telegram] Found OpenCode command: isms-audit-expert
[Telegram] Found OpenCode command: onboarding-cro
[Telegram] Found OpenCode command: content-strategy
[Telegram] Found OpenCode command: copywriting
[Telegram] Found OpenCode command: video-content-strategist
[Telegram] Found OpenCode command: pricing-strategy
[Telegram] Found OpenCode command: site-architecture
[Telegram] Found OpenCode command: ad-creative
[Telegram] Found OpenCode command: signup-flow-cro
[Telegram] Found OpenCode command: social-media-analyzer
[Telegram] Found OpenCode command: campaign-analytics
[Telegram] Found OpenCode command: marketing-demand-acquisition
[Telegram] Found OpenCode command: content-production
[Telegram] Found OpenCode command: seo-audit
[Telegram] Found OpenCode command: content-humanizer
[Telegram] Found OpenCode command: launch-strategy
[Telegram] Found OpenCode command: content-creator
[Telegram] Found OpenCode command: marketing-context
[Telegram] Found OpenCode command: marketing-strategy-pmm
[Telegram] Found OpenCode command: app-store-optimization
[Telegram] Found OpenCode command: referral-program
[Telegram] Found OpenCode command: free-tool-strategy
[Telegram] Found OpenCode command: ai-seo
[Telegram] Found OpenCode command: brand-guidelines
[Telegram] Found OpenCode command: x-twitter-growth
[Telegram] Found OpenCode command: marketing-psychology
[Telegram] Found OpenCode command: senior-pm
[Telegram] Found OpenCode command: cold-email
[Telegram] Found OpenCode command: team-communications
[Telegram] Found OpenCode command: atlassian-admin
[Telegram] Found OpenCode command: atlassian-templates
[Telegram] Found OpenCode command: programmatic-seo
[Telegram] Found OpenCode command: copy-editing
[Telegram] Found OpenCode command: marketing-ideas
[Telegram] Found OpenCode command: scrum-master
[Telegram] Found OpenCode command: meeting-analyzer
[Telegram] Found OpenCode command: form-cro
[Telegram] Found OpenCode command: social-content
[Telegram] Found OpenCode command: confluence-expert
[Telegram] Found OpenCode command: financial-analyst
[Telegram] Found OpenCode command: gcp-cloud-architect
[Telegram] Found OpenCode command: jira-expert
[Telegram] Found OpenCode command: marketing-ops
[Telegram] Found OpenCode command: churn-prevention
[Telegram] Found OpenCode command: saas-metrics-coach
[Telegram] Found OpenCode command: stripe-integration-expert
[Telegram] Found OpenCode command: aws-solution-architect
[Telegram] Found OpenCode command: business-investment-advisor
[Telegram] Found OpenCode command: analytics-tracking
[Telegram] Found OpenCode command: google-workspace-cli
[Telegram] Found OpenCode command: senior-ml-engineer
[Telegram] Found OpenCode command: senior-data-scientist
[Telegram] Found OpenCode command: ab-test-setup
[Telegram] Found OpenCode command: prompt-engineer-toolkit
[Telegram] Found OpenCode command: red-team
[Telegram] Found OpenCode command: ai-security
[Telegram] Found OpenCode command: popup-cro
[Telegram] Found OpenCode command: senior-architect
[Telegram] Found OpenCode command: security-pen-testing
[Telegram] Found OpenCode command: self-improving-agent
[Telegram] Found OpenCode command: tdd-guide
[Telegram] Found OpenCode command: playwright-pro
[Telegram] Found OpenCode command: senior-data-engineer
[Telegram] Found OpenCode command: tech-stack-evaluator
[Telegram] Found OpenCode command: social-media-manager
[Telegram] Found OpenCode command: email-template-builder
[Telegram] Found OpenCode command: azure-cloud-architect
[Telegram] Found OpenCode command: a11y-audit
[Telegram] Found OpenCode command: senior-prompt-engineer
[Telegram] Found OpenCode command: threat-detection
[Telegram] Found OpenCode command: incident-commander
[Telegram] Found OpenCode command: senior-security
[Telegram] Found OpenCode command: senior-computer-vision
[Telegram] Found OpenCode command: cloud-security
[Telegram] Found OpenCode command: competitor-alternatives
[Telegram] Found OpenCode command: epic-design
[Telegram] Found OpenCode command: snowflake-development
[Telegram] Found OpenCode command: senior-secops
[Telegram] Found OpenCode command: demo-video
[Telegram] Found OpenCode command: senior-qa
[Telegram] Found OpenCode command: senior-fullstack
[Telegram] Found OpenCode command: tech-debt-tracker
